text,score,score_chr
" This is all well amp good. I just wish there was more info available about post viral complications, Long Covid, ; the like. Even w/ a ""mild"" case, it sounds like even the vaccinated ; boosted are still at risk for system damage if they contract covid.",3,Positive
 Its a plot by the liberals to push their energy agenda They are telling us we can't set the prices of our oil?? Sounds like the covid hoax!!,-1,Negative
"    If Hilary Clinton became president Covid wouldve been contained, Putin would’ve been put in his place, and we would be admired for electing a strong woman as president.",1,Positive
"    Um um um but we have um um um the most robust economy um um in Europe We um um um are leading the um um um way on response um um to Putin, and um um my government um led the fastest um um rollout of um the covid um um vaccine-- signed Clown Prince Boris",4,Positive
"Finally After getting Covid recovering from it and waiting, I finally got my booster �Stay safe everyone! ",1,Positive
"Access limits put on PCR tests more than two months ago mean Moore believes the province does not document as many as 90 per of new infections each dayThat ratio would suggest the province is still seeing 12,000-20,000 new cases of COVID-19 each day.”That’s terrifying ",-2,Negative
"   Turns out COVID unfortunately ended up being the big agenda for the year( is ALMOST over this, Alex. Almost.)",-1,Negative
  COVID19 has affected much of the world economy and the impact on many internationally recognized companies has been devastating. How has Project enabled and maintained commercial financing during this difficult period for all finances?,-2,Negative
" Hi I don't know you. My old man had emphysema, so I implored him to get the vaccine, which he did 4 months ago. Feb 3, he died of Covid. Vaccines may or may not work, but I can tell you that peddling the myth that if you get the vaccine, you wont catch Covid, is a lie.",-2,Negative
"   It found my whole house in Jan Myself, husband ; 2 kids. Myself ; kids had symptoms the day before we tested positive, after that, none. My husband had every covid symptom. And was in bed for over a week. Even after he was ""recoved"" he had a lingering cough for weeks. Take care.",-1,Negative
"  The only place that is getting wrecked right now is Hong Kong, and it's because they are still following their COVID-Zero policy instead of focusing on vaccination. ",1,Positive
 side effect covid ,0,Neutral
"Big Pharma sees the pandemic as a profit opportunity They’re hoarding their vaccines, tests, and treatments—and it’s prolonging COVID for the entire world. Join our friends on Friday, March 11 to speak out and : ",0,Neutral
"In the last 24 hours it is reported that Wicomico County has had 2 new confirmed positive cases of COVID19. Wicomico County has had a total of 19,515 total cases.  A total of 320 deaths. Please keep these families in your prayers.� ",1,Positive
I dont know if its Covid Long haul but all I know is each day I get out of bed completely exhausted � Each morning I hope today is the day I won’t feel like this anymore. Waiting for spring ��      ,0,Neutral
well..bank tellers have been behind screens longer than covid ,0,Neutral
Why is China so very out of control with COVID right now ,1,Positive
"  Actually immunity from COVID infection is pretty weak thats why many are getting documented COVID cases multiple times. Each case can be worse as the previous, each one can leave you with new co-morbidities.",-2,Negative
 I already reminisce the time when we used to whine about Covid lock down Thought things were fucked up but this…  I have no word…,-1,Negative
thank u for not giving me covid � i can still smell and everything,0,Neutral
 Whhaaaattttt!? Getting rid of mask mandates and social distancing caused a spike in Covid cases... I am shocked... SHOCKED I say... �,-2,Negative
"Its possible that the ‘Pandemic’ phase of COVID-19 is in its ending time now, but we won’t know that for at least a few months, if not a year,” notes . ",0,Neutral
Researcher finds stunning' rate of COVID among deer. Here's what it means for humans ,1,Positive
       The phrase covid theater pisses me off Walking over graves for politics.,0,Neutral
 Same around here they dropped the mask Monday we are Wednesday and  100 kids infected Those kids bringing it home. But hey the COVID-19 is over and was not real anyway according to our political losers and the truckers who want freedom.,-1,Negative
  I got COVID from a double vaxxed person who endurded worse symptoms than me  You can't tell me it works as vaccines were always understood to work for years before hand.,0,Neutral
 Oil companies reduced production because people werent driving or flying under COVID Oil companies need to ramp production back up. Biden isn’t CEO of Exxon.,0,Neutral
George McInerney finds this interesting  COVID19: Tannic acid targets key stages in the fight against SARS-CoV-2 infection ,0,Neutral
"NO FUCKING. DUH. !!!!! AND THEY SHOULD STILL BE IN PLACE!!!!! ���Masking in school reduced covid cases, CDC finds - The Washington Post ",-1,Negative
"  hear Desirgeion Sirge Keys story. Covid has impacted , one of only seven colleges that are Predominately Black Institutions located in rural settings. 6/6 ",0,Neutral
"  hear Desirgeion Sirge Keys story. Covid has impacted , one of only seven colleges that are Predominately Black Institutions located in rural settings. 5/6 ",0,Neutral
Covid19 knocked many women out of the workforce. Here's how to bring them back.    ,0,Neutral
Every time I wake up with a sore throat I think I have covid And I still have never had a covid test �,-1,Negative
COVID19 Changed the Biopharma Industry - and There's No Going Back | BioSpace ,0,Neutral
"   COVID19 has had a significant impact on the global economy, and the consequences for many globally recognised enterprises have been disastrous. How has Project enabled and retained commercial financing during this challenging financial period?",-1,Negative
   LOL thats your retort  You've lived through 2 years of COVID hysteria and that's your takeaway?I understand how goverment and Big Pharma can easily manipulate people like you and the other tards in this thread to get dangerous experimental gene therapy.,-2,Negative
 covid restrictions,0,Neutral
Great to meet  group today Long COVID sufferers including children can no longer be ignored. Many still suffer on a daily basis from its impacts ; have lost their livelihoods. Funding should be geared towards specialist care ; biomedical research.  ,-2,Negative
Imagine abhira in Maldives smiley27 skyrocketing trp It's the most trending place for honeymoon now among couples owing to no covid restrictions and beauty of the place   ,1,Positive
Long COVID Learning as We Go ,0,Neutral
"Today we are going to see a lot of tweets about masks being removed from some top scientists 'They' will not listen i can almost guarantee it. It is hard to not feel helpless but fuck em, I will do what I need to to keep my family covid free.",0,Neutral
Two years late thanks to COVID but its finally happening  ,0,Neutral
"    It wasnt 150m for a start the money he did spend made another 150m getting us to the extraordinary position of 9th in the PL something we had no right to do. Let’s just forget all that and remember a season which was screwed by covid, injuries and an owner who gives zero fucks",1,Positive
"Sorry to disappoint those Albertans that think COVID is over, but February was the 4th highest number of deaths per month due to COVID  - in the 24 months of this pandemic.� ",-2,Negative
"  Monday 14th 9am6pm (closed 1pm-2pm): Ellacombe Pharmacy, 24 Ellacombe Road, Longwell Green, Bristol, BS30 9BA",-1,Negative
"  Covid19 Vaccine Information  �✅ With summer quickly approaching there are going to be even more opportunities for teenagers to socialise. With festival season in sight, if you child is aged 16 or 17, they can now receive their booster jab if over 2 months since 2nd dose. ",0,Neutral
" Vulnerable 511year olds are now able to receive their first vaccination dose, for more information, please follow the link.� ",-1,Negative
Im not saying long Covid causes car crashes but long Covid causing car crashes to increase is a more plausible hypothesis than mask mandates causing car crashes,-3,Negative
"The prime minister said labor market conditions in The Bahamas are improving He said the number of people relying on the COVID-19 unemployment assistance program decreased from a peak of 22,000 people to 8,000 people, as of December.",1,Positive
  Yeah I always thought that it was in the plans to translate the essential travel only' and '5km restrictions' to the green agenda.Fits perfectly for both.An energy crisis is the perfect way to ease people into the idea.Zero Covid/Zero Carbon.,2,Positive
The North Countrys own diary of the COVID pandemic  wants to know your story,0,Neutral
 What is the covid narrative,0,Neutral
" Agree Everybody thinking and buying these rallies as in , it will snap back like Covid V shape ! This downtrend is no where similar to Covid. It is similar to 2008 or 2000. Need to have proper consolidation on stocks in stage1  before any buy is put in for stage 2.",2,Positive
Cathay Pacific 2021  revenue up 32 on better yields       ,1,Positive
"COVID19 presented many of our customers with health and safety concerns especially ensuring the safety of staff workers during working hours.KDH installed perspex dividers for an outside eating area and pathway for constructing a covered walkway, allowing for safe circulation. ",0,Neutral
Two Augusta University undergrads have been awarded fellowships for their work tackling two important topics clinical biases on the diagnosis of African American patients and the impact of COVID19 on nursing homes. ,2,Positive
" Sure it has to be said you can't get everything for free in life. And given are Governments now very high price to meet to Brexit, covid, Ukraine war... let's get a grip",1,Positive
 Yeah theres always some worries with that Best thing for everybody to do is continue with safety measures and be as mindful as possible. Hoping they are negative as well. Covid scares are awful,-1,Negative
Long Covid patients across the UK are demonstrating today and are demanding ️ ,0,Neutral
Timely and accurate diagnostic testing for SARSCoV-2 is an essential part of a comprehensive COVID-19 response strategy.WHO has published new guidance on testing: self-tests should be offered in addition to professionally-administered testing services. ,4,Positive
"For those who can stomach it Kieran Moore is up shortly I have a feeling he will outdo himself in his last planned COVID presser.(For those who don't want to watch, I will transcribe it all.)",1,Positive
      But if she or family members hospitalized die or get long covid you dont care.,-1,Negative
Travel Insurance Might Not Cover COVID19 — Unless You Upgrade     ,0,Neutral
Gas Prices Jump 12 Cents A Gallon In A Day As Fuel Costs Replace Covid As Top Travel Concern ,0,Neutral
If u go on a cruise after Covid i cannot trust u,1,Positive
Lmaooo mind u the cases are 5k daily but since Ukraine is being invaded COVID is so yesterday ,0,Neutral
"Report from an employee at Atlas Oil Company in TAYLOR MI on Jul 27 2020: ""1. My employer has been making people come into the office since COVID started. Even office workers that can work from... ",1,Positive
This where Covid started. ,0,Neutral
 To be honest with you I wish there was a food and fuel shortage so they can finally shut up about covid forever,0,Neutral
" hey man idk how much longer I be able to hold out life  covid + depressing are wearing me out fast, like I said to you when I met you that one time, one day I’ll reach out begging for help, and welp the time is here, I’ll do anything for  or ",0,Neutral
  This Government experts of getting credit and hiding his faults and corruption behind covid but people sacrificed so much bcz of this covid never appreciated by this government,-2,Negative
Austria suspends law forcing all adults to have Covid jabs weeks after making vaccines mandatory ,0,Neutral
It will be interesting to see if Latinos in localities with strong antiCovid measures behave any different electorally this fall than those that don’t.,1,Positive
I thought they mocked it as horse dewormer? Huh. Well I'll be darned. Looks like they didn't know what they were talking about.,1,Positive
Pfizer starts Phase 23 trial of COVID19 antiviral pill for pediatric patients ,0,Neutral
"       Starting  with this session  first is , sharing her experience being invited to an *on-campus* visit at the peak of COVID, in Feb 2021. When she asks for a virtual visit, she is told, ""You do realize you are not the only candidate for this position?"" �",0,Neutral
"the anniversary of COVIDthe first quarantine is likely to bring up some stuuuuff let’s be gentle with ourselves this month, friends. ❤️ ",1,Positive
Download the Owlette App and have a chnace to network as well as connect with numerous clientssellers across AfricaIts the post Covid era where everything went digital setting the future trend. via ,1,Positive
 Thanks-this bears repeating. I still run into people who deny COVID is a pandemic and denigrate people who wear masks.,-2,Negative
First there was shortages then there was Covid outbreak 20 and now there is a ,-1,Negative
"  Everything YOU need to know about COVIDRemoving masks in high risk congregate settings overcrowded amp; underventilated, packed all day long with vulnerable unvaccinated childrenProve to ONTARIO YOU are capable of LEADERSHIP",-1,Negative
" In fact i would argue that for vaccinated people getting Covid would not even be as bad as the flu. I think it is up to people to get vaccinated and get on with their lives. If people feel safer wearing a mask, then go right ahead, but do not belittle people who do not",-1,Negative
 Considering that a large number of hospitalisations are due to people getting Covid who are unvaccinated how long are you going to continue to wear a mask for Did you previously wear a mask for a flu? Because in most cases that is what Covid will be like when vaccinated.,1,Positive
  First of all they let those of us who want to wear a mask do so its optional it's not required. Most of our congregation has gotten covid and we aren't afraid to go be with Jesus. We say when he wants to take us he will. Don't judge people that you don't anything about.,-1,Negative
"  I went to USC long COVID clinic The best part of long COVID clinics, in my opinion, is validation and diagnosis. Before going to the LC clinic, my local doctors thought I had a psychological disorder (FND) and had referred me to a psychiatrist.",0,Neutral
"A nurse who voiced how she had been given a heavier workload than her colleagues was told by a colleague Well it beats being a slave”, i has learnt in a shocking revelation about the levels of racism experienced by NHS workers  ",-1,Negative
Covid News US. Aims to Contribute to Vaccine Effort for Next Disease - The New York Times ,0,Neutral
 Liberalism  It’s a disease.  Needs to be eradicated. Better use those Covid relief funds to fight it!!,2,Positive
Does anyone still take Covid as a reason for not fully operating a business? I thought we were past this.,0,Neutral
Ok God have a seat. It's time for your annual performance review.We've decided to let you go. It's just not really working out. The whole Covid and  Trump thing and the fervent homophobia in the workplace kinda pushed that decision.,2,Positive
El Gato Malo is insightful as usual,1,Positive
"GTCH With regard to COVID19 however, the following excerpt from the Allied Market Research report's overview r  $GTCH ",1,Positive
"GTCH With regard to COVID19 however, the following excerpt from the Allied Market Research report's overview r  $GTCH ",1,Positive
Were hitting new job opening highs and people are trying to price ZIP for a slowdown/recession- just odd- I get weird RoC with model due to covid but seems to be superceding everything at this point- if we winnow that down by a few million more to 7-8M then prob getting late,-2,Negative
  It was embarrassing.. But what of this new claim about us over spending between 2017 ; 2020....claims of 155 million overspend on profit ; sustainability rules... Seems all clubs will be suffering that as covid hit...,-1,Negative
" next weekend is my first birthday postcovid, we’re blacking out",0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
 at its insane antidata  nonsense again.,-2,Negative
 Been watching way before it Though Covid definitely had me watch a lot more than before.,0,Neutral
"Faheem Ashraf Tests Positive For COVID19, Out Of 2nd Test vs Australia ",1,Positive
"Lord Agnew describes  Govt handling of Covid as  a Dad's army operation"".",0,Neutral
So after 19 fucking days Im still positive for covid ��    ,0,Neutral
" Thanks  I was speaking more to the media coverage of Covid as it pertains to Ukraine - two weeks ago Covid was all anyone could talk about and now all of a sudden nothing - just interesting observation, is all. :)",1,Positive
"751 in hospital 241 in ICU due to COVID19 in Ontario. 20 Fatalities + 7 Catch-up. 1,947 new cases in Ontario, 295 in Toronto. 13,764 Vaccinations - Mar 09, 2022 ",-1,Negative
Good luck of Pakistan that  was PM during  and bad luck of  that Covid broke out during his tenure It’s a . Let it sink in ,0,Neutral
New post in ���� �������: Fahim Ashraf has tested positive for COVID-19 in his on arrival Test at the Karachi team Hotel . ￼ ,1,Positive
"   Um it started going up as covid restrictions eased causing demand for gas to rise. Also, with less taking transportation, there are more driving today than ever before. Demand causes prices to increase. Sorry pal. Economics 101.",0,Neutral
There has been a breakout of Covid at the funeral that was held I am experiencing symptoms and will get tested today. I encourage all my students to get tested as well. Until then check your Canvas. ,1,Positive
" My 90 year old Uncle got covid Doc refused to give him monoclonal. Said the new protocal is 7 days.  No, its 10. I guess they figured this healthy, 90 year old man who still works every day ; contributes to his family, is not worth wasting monoclonal on. Protect the elderly?",2,Positive
 A rifle bull it a Russian shell a Russian bomb- Covid fear. I think the people will take the chance of Covid. What the hell people perspective here.,-3,Negative
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
A study into conspiracy theories has found that 29 of Britons believe that  came from a Chinese lab despite evidence proving otherwise. The study highlighted the increase in support for far-right movements as a major reason for this belief.,1,Positive
"Covid is STILL NOT OVER""Hospitalisations are rising in all seven English NHS regions, Scotland and Wales, after a period of decline since the start of January.In south west England, admissions are ��higher than they were at the peak of the Omicron wave in January.""�� ",-1,Negative
"  It is so confusing My daughter and her housemates at uni all have Covid and they are constantly being alerted to the fact they have been in contact with Covid, so system still going. They are still testing positive on day 8 and all still isolating.",0,Neutral
"With lab testing being ramped up to track the spread of Covid19 just after the outbreak of the virus,  needed to rapidly expand both its laboratory and support staff. Find out how we helped the organisation fill over 400 roles: ",0,Neutral
 Yeah I definitely wouldnt have taken the time to watch MHA if not for Covid,0,Neutral
 mhmm girl covid??,0,Neutral
 When the thread says there could well be an increase in medical emergencies which looks to be the case then the only thing thats changed since supporters allowed back in the ground is covid/pfizer jab,1,Positive
" Its basically murdering Ontarians whether directly due to COVID-19, or indirectly because of delayed medical or dental procedures due to fear of catching COVID-19, or because resources are tied up treating those with the disease. Long Covid will also claim several generations.",-2,Negative
"ummm ab bit confusing and messy but could definitely be worse im not doing online, thats only the case when more than 5 people have covid or if i’m sick but i don’t wanna miss class. online school makes me have a headache . ",-6,Very Negative
  Often there is a trend unfolding that gets an accelerant that isnt expected Example: online shopping and COVID. We were headed there anyway but it happened faster for unexpected reason. Russia is the accelerant for energy prices that were on way.,0,Neutral
 i have a cold so its annoying not covid) and i don't wanna study lol,-2,Negative
,0,Neutral
Faheem Ashraf has test Covid positive Big setback for Pakistan to form an ideal combination. I'ld like Pakistan to play with following combination:ImamAbdullah AzharBabarFawadRizwanIftikhar Ahmed Nauman AliHassan AliShaheenZahid Mahmood,2,Positive
   That would meet plenty of resistance from UK businesses already under pressure from the increased costs of postBrexit trading complications and COVID. I'm sorry my analysis depresses you.,-2,Negative
Covid Austria suspends compulsory vaccination mandate ,0,Neutral
" Echo chamber Government COVID policy hasn’t been guided by “The Science”, but almost entirely by polling numbers from the population. You are no longer the majority, so the winds of policy has changed.",0,Neutral
   I dont understand. I was told Covid is over. Is that incorrect?,-1,Negative
 Marco why dont you include 2020 when your Orange Buffoon was running crazy and denying Covid exists? The US reduced oil production due to Covid. Include 2020 and Biden Admin producing more than 2020 as production ramps up.,-2,Negative
"Edmonton votes to remove the mask mandate just as compelling data comes out that even mild cases of COVID can cause brain damage and shrinkage. Vaxx status of study participants was unclear, but even if vaccination prevents/reduces this, what about kids?    ",-2,Negative
 is tired everyone. SO Masks Off!!          ,-1,Negative
  Or if they get too close I have Covid.,0,Neutral
Guess Covid on the back burner now lol  Gas prices and War going on ‍���,0,Neutral
Masking mandates expected to lift Village Media will carry the live stream of the announcement ,0,Neutral
 I didnt stop wearing a mask but contracted Covid this week Having avoided it for the past couple of years through sensible precautions I put this down to a complete abandonment of responsibility by Gov’t.,1,Positive
St Patrick’s Day 2022 events grow as COVID-19 restrictions lessen ,0,Neutral
"The last time I checked  wasnt in an iron lung, so he’s vaccinated against polio. He also doesn’t seem to have diphtheria or whooping cough, so he’s vaccinated against those too. I wonder what the difference is with Covid vaccines? �  ",1,Positive
Covid19: Four more people have died after having tested positive for Covid-19,0,Neutral
"Faheem Ashraf Tests Positive For COVID19, Ruled Out Of 2nd Test Against Australia | Cricket News ",1,Positive
   Because they never want covid to end thats why,0,Neutral
  Covid ,0,Neutral
"Everyone who has believed supported and propagated the Covid19 and ""vaccine"" bullshit (including and particularly those who have had the ""vaccine"" and refuse to admit that they now feel stupid) should be reported and banned. They have spent two years spreading misinformation.",-2,Negative
 end the lockdown Bonnie Henry,0,Neutral
" Listen up Gymbo We remember how cheap gas was during TFG's administration because we remember how poorly he handled the Covid pandemic. Less demand resulted in lower prices, but go ahead and spread your lies. After all, it's your base that believes them.",-3,Negative
"Have you noticed the changes and challenges of remote work due to the COVID19 pandemic? Dr. Laura Dryjanska, assoc prof of psychology and program director of our new M.S. in Positive Organization Psychology, contributed to a study on this topic here: ",2,Positive
 research IoT adoption in the agriculture industry accelerates in response to Covid19Read more �� ,0,Neutral
"KS Rapid Test appointments available at CVS OVERLAND PARK  12290 COLLEGE BLVD POCT Covid - 19 Testing Site Lane 2 on Mar 09. Sign up here, zip code 66210:",1,Positive
"KS Rapid Test appointments available at CVS OVERLAND PARK  West 75TH St. POCT Covid - 19 Testing Site Lane 2 on Mar 09. Sign up here, zip code 66204-2927:",1,Positive
"MO Rapid Test appointments available at CVS KANSAS CITY  5440 NW 64TH ST POCT Covid - 19 Testing Site Lane 2 on Mar 09. Sign up here, zip code 64151:",1,Positive
"KS Rapid Test appointments available at CVS LENEXA  W 87TH STREET PKWY POCT Covid -19 Testing Site on Mar 09. Sign up here, zip code 66215:",1,Positive
"MO Rapid Test appointments available at CVS INDEPENDENCE  17301 E US HIGHWAY 24 POCT Covid - 19 Testing Site Lane 2 on Mar 09. Sign up here, zip code 64056-1807:",1,Positive
"MO Rapid Test appointments available at CVS KANSAS CITY  315 W 75TH ST POCT Covid - 19 Testing Site Lane 2 on Mar 09. Sign up here, zip code 64114-5738:",1,Positive
"MO Rapid Test appointments available at CVS KANSAS CITY  STATE LINE RD POCT Covid - 19 Testing Site Lane 3 on Mar 09. Sign up here, zip code 64145:",1,Positive
"MO Rapid Test appointments available at CVS LIBE  W KANSAS ST POCT Covid -19 Testing Site on Mar 09. Sign up here, zip code 64068:",1,Positive
"KS Rapid Test appointments available at CVS OVERLAND PARK  West 75TH St. POCT Covid - 19 Testing Site Lane 3 on Mar 09. Sign up here, zip code 66204-2927:",1,Positive
" Yes the whole world is in a different place now with 6 MILLION dead from Covid several more waves of variants, Science that tells us the next wave will be even more contagious AND even more deadly… and Mayors who don't want to 'confuse us' by not following Doug Ford's advice.",-4,Negative
 Here we go..COVID coming back. Get ready for lockdowns,1,Positive
"Everything you need to know about COVID19 in Alberta on Wednesday, March 9 ",0,Neutral
Tuberculosis disease care in India is under pressure due to the ongoing   it was disclosed today ,0,Neutral
But it seems even worse  we've already passed the stage where 'Covid causes death' is considered mild (by some)� ,-2,Negative
"Covid19: PM Modi reviews pandemic situation, public health response in India        ",0,Neutral
 The science makes clear though that unvaccinated kids that young have less risk from Covid than I do as a triplevaccinated 42 year old. This is a good thing.,1,Positive
ricwulfagain: anamericangirl: hominis-unleashed: higherorder: Average Liberal before Covid: How did the Nazi’s come to power? I would have resisted. Punch a Nazi! Average Liberal now: When you resist “nazis” so much you actually become one.... ,-1,Negative
"    In loads of places where restrictions were removed cases are spiking again You can ""lol"" all you want, but it seems that COVID isn't done with us. It's not like I'm happy about this!",2,Positive
 Yes Covid is no longer available We recommend using a different VPN service.,2,Positive
 How is this still happening when countries and even provinces are dropping mandates SERIOUSLY �Makes me think there’s more to it than Covid. Do companies want to fire people to decrease costs and are using Covid as an excuse not to pay severance?,-1,Negative
Top lawmakers reach deal on Ukraine aid 1.5T spending (from ) ,1,Positive
We need to practice good food preparation so it makes sense that recovering from COVID need to be careful with cooking foods to safe internal temperatures Find out more at .,2,Positive
"During COVID 2021 gas company PROFITS  23 BILLION  $19 BILLION,  $15 BILLION.   ",0,Neutral
" Sigh No one's fooling me. I don't think you're arguing in good faith. Let's pretend for a moment, though, that you really are somehow unable to find one study showing the effectiveness of masks in reducing Covid spread. Here, let me help:",1,Positive
"Why did the CDC issue new guidelines that allowed most Americans to dispense with indoor masking when at least 1000 people had been dying of COVID every day for almost six straight months?"" ",-2,Negative
My first art is gonna be post Covid stans tiddieshj,0,Neutral
"E250 Wheres the apology?As more and more scientific studies come out and show what government’s approach to   was ineffective at best, we dive into the thoughts of people who pushed against the policies that where being forced upon the citizens.",0,Neutral
Our government and what they think of the British public happy to let us die of Covid and of either hunger or hypothermia ,0,Neutral
" Ya but two years ago we didnt have vaccines natural immunity from contracting covid nor therapeutics. With your criteria we will never stop wearing masks and for the vast majority of us that just isn’t going to fly. Sorry. And do remember, masks DO protect the wearer as well.",1,Positive
Barry is implicated in Biolabs in Ukraine-Soros implicated in COVID-US implicated in Biolabs in UkraineCIA helping fight against Russia in Ukraine-FBI involved 1/6-Pfizer docs show how bad vaccine is-Fauci is nowhere-COVID is nowhere to be found-Fake News losing its grip,-1,Negative
All Covid travel restrictions set to go within days',0,Neutral
  How does someone this dumb get a blue check mark  why would you not want treatments for Covid-19? Would you rather people keep dying? Or maybe you love seeing Big Pharma ; China banking on your ignorance and the American middle class?,-2,Negative
Congressman introduces legislation to protect Americans from Russian propaganda disinformation ,0,Neutral
"Wonder what the US is gunna do with their newfound collectibleHe Spent $57,000 in Covid Relief on a Pokémon Card. Now the U.S. Owns It. ",2,Positive
 is going through its worst wave of the  100s of thousands of  cases daily. Hospital patients being kept outside. Temporary isolation facilities. Massive run on stores and pharmacies. The details and images are unnerving.,-3,Negative
After 2 years and a year and a half working with covid I thought I had dodged it... but no... tested positive today... and I'm no well. Pure feeling sorry for myself,2,Positive
 Your baby is dead from COVID but the economy is doing better so we Conservatives feel it was worth it,1,Positive
How short my youth is but COVID19 occupied 3 years ,0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
All Covid travel restrictions set to go within days',0,Neutral
"So in just one night price of gas has gone up average of 10 Cents a gallon! The blame is on the Democrat Communists!!! They blame Putin, this is like blaming covid for the lockdown.. no mandatory lockdowns were done by Democrats NOT the disease.",-1,Negative
" Deaces predictable shift from Covid 24/7"" to the ""GOP is not radical enough for me"" has begun.",0,Neutral
Even mild Covid found to have an impact on the brain  ,0,Neutral
"She went to Tokyo as Team LeaderManager with 20 disabled athletes for the Paralympic games Under good guidance and difficulties with Covid-19 the athletes won 3 Gold, 2 Silver and 2 Bronze medals.",2,Positive
 Show me where I mentioned COVID  Show me where I mentioned social distancing.  Hint: nowhere.,0,Neutral
" The only thing that is real is that  immune systems becoming weaker after each shot will be called long covid Yes it will effect many. How it all effects anything, we will have to wait and see.",-1,Negative
      My uncle took the jab amp  ended up with Covid within hours. He almost died. My mother who is older then him got it ; was over it in less then a week. No side effects. Natural immunity for at least 18 months. Not worried. If we get it again we know what to do.,-2,Negative
" Im sure it's more than one member. How many profited and still profit from ongoing covid pandemic? They get insider information and make millions all while pretending to be ""public servants""",0,Neutral
" It is not hard to agree as any nation with even basic medical but better human agreed promise in unified compassionsWhen the last person comes into any hospitol with covid after months of covid free hospitols.Then we can take off the masks.Honor so simple , so easy a child knows",3,Positive
Covid Austria suspends compulsory vaccination mandate     ,0,Neutral
 Who is covid,0,Neutral
CDC says avoid travel to New Zealand Hong Kong and Thailand as covid cases surge ,0,Neutral
Florida releases guidance discouraging covid vaccine for most children ,0,Neutral
All Covid travel restrictions set to go within days',0,Neutral
" CNN is at it again Lets look at the lie you just printed. First of all, you neglected to alert your readers that this only applies to Pre K to Grade 3. Stop the Bullshit CNN. You did the same damn thing with the Covid mask demonstration. That's inefficient and corrupt reporting.",-6,Very Negative
 Us more than any other country ,0,Neutral
" No they don't. The only people I know of who died from covid were also vaccinated. Dunno what definition of ""work"" you're using, but it doesn't fit reality.",0,Neutral
 My parents were on the Covid cruise and were already stuck on board with Covid spreading so my last normal” week was almost a month before �,-1,Negative
 This is gross misinformation Two studies show that ivermectin reduces covid 19 mortality by up to 70. ,-1,Negative
Manulife allows staff to return to offices as COVID cases ease ,1,Positive
All Covid travel restrictions set to go within days',0,Neutral
" linked like the difference between dying ""with"" covid or ""from"" covid. No doubt none were linked. They tried to avoid publicly linking them. Now do ""caused by""",-1,Negative
Russias invasion of Ukraine is causing a devastating humanitarian crisis in the country with at least two million people fleeing into neighboring countries and the WHO warning that the deteriorating conditions will make it easier for Covid-19 to spread ,-4,Negative
 well yeah you still can get covid if youre being dumb and not wearing masksit also makes it less painfull when you get the virusheck im only laying in my bed not feeling any pain,-2,Negative
WEEKLY UPDATE Nursing home covid rates among staff ; residents and covid fatality rates among residents are now back to pre-Omicron levels. Deaths per case during Omicron much lower relative to prior waves reflecting vaccine ; booster efforts. ,0,Neutral
" Im promask and will definitely keep wearing one, but something to consider, with 15-20% of the population having had covid since January, I’m not convinced masking in that segment of the population is all that productive, since they’re unlikely to already be reinfected.",0,Neutral
I think Covid has killed off all the antivaxxers. They've disappeared like snow from a dyke on a warm day.,1,Positive
i want to write THIS WHOLE THING FEELS SO DEHUMANIZING” in this presentation right now. I need another covid wave. The more things “open up” the less I want to socialize in public with people,1,Positive
Global Coronavirus Status Confirmed  347883777Deaths : 4662593Recovered : 0Recovery rate : 0% ,1,Positive
All Covid travel restrictions set to go within days',0,Neutral
  That the point we cant and thats why it’s important to avoid catching COVID. Especially in children . Did you have COVID? Because I’m not sure why you don’t understand my point,1,Positive
Meredith Fahy an   Infection Preventionist is featured as a guest on the latest   podcast episode “Transmission Interrupted: The Hidden Cost of COVID”  Listen here: ,-1,Negative
Our Covid19 positivity rate is down to 1% and down to 2 inpatients. 100% of inpatients unvaccinated. ,0,Neutral
 Sars hommage to sars covid 19,0,Neutral
"  This resonatesAlso feel like I went from being 39 to 50Had Dysautonomia pre covid amp; in the past 2yrs since covid Dysautonomia progressed more than it had in 20yrs, collectivelyIt's now scary, disabling symptoms and I assume it will simply keep progressing at this rate now",-1,Negative
Body bags overflowing morgues and chaotic hospitals Hong Kong’s pandemic goes critical ,-2,Negative
" As scientists and epidemiologists and infectious disease specialists from around the world say the new variant is rising and the longCOVID effects are serious even with mild disease....until the ""Chief Medical Officer"" is announcing new restrictions, he is a damn liar.",-2,Negative
"Ontario reporting 751 hospitalizations with COVID19, 241 in ICU",0,Neutral
 If you go on your Covid Pass you can click to view records and it will date each jab,0,Neutral
  In May21 the threshold for reopening was less than 800 hospitalizations ; yesterday there were 1106 with fewer protections than in May and we suffered the fiasco of ! The  don't care about the suffering. It's part of their plan. ,-3,Negative
             Biden amp entire world know there’s not going to be another COVID election �  Donald John Trump Sr is drawing 100 thousand people in crowd size a Republican  representative RALLIES ; Trump likely has 100 million + voters voting seizing the House majority ,2,Positive
  Covid,0,Neutral
"The inequities that were overlooked in this pandemic will ignite the next onebut they don’t have to. Improving ventilation in workplaces, schools, and other public buildings would prevent deaths from COVID and other airborne viruses, including flu.""",0,Neutral
